index,ds_id,imdb_id,title,budget,release_year,vote_average,vote_count,features,language
31,254,tt0360717,King Kong,207000000,2005,6.6,2403,peterjackson naomiwatts jackblack film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur adventure drama action,en
32,597,tt0120338,Titanic,200000000,1997,7.5,7770,jamescameron katewinslet leonardodicaprio shipwreck iceberg ship panic titanic ocean liner epic rich woman  poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s drama romance thriller,en
33,296,tt0181852,Terminator 3: Rise of the Machines,200000000,2003,5.9,2177,jonathanmostow arnoldschwarzenegger nickstahl saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist action thriller science fiction,en
34,558,tt0316654,Spider-Man 2,200000000,2004,6.7,4432,samraimi tobeymaguire kirstendunst dual identity love of ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain action adventure fantasy,en
35,58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,200000000,2006,7,5380,goreverbinski johnnydepp orlandobloom witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger adventure fantasy action,en
36,10764,tt0830515,Quantum of Solace,200000000,2008,6.1,3015,marcforster danielcraig olgakurylenko killing undercover secret agent british secret service adventure action thriller crime,en
37,534,tt0438488,Terminator Salvation,200000000,2009,5.9,2496,mcg christianbale samworthington saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station postapocalyptic dystopia army firearm wartime los angeles action science fiction thriller,en
38,17979,tt1067106,A Christmas Carol,200000000,2009,6.6,1137,robertzemeckis garyoldman jimcarrey holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas animation drama,en
39,14161,tt1190080,2012,200000000,2009,5.6,4994,rolandemmerich johncusack amandapeet civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction of mankind action adventure science fiction,en
40,12155,tt1014759,Alice in Wonderland,200000000,2010,6.4,4773,timburton miawasikowska johnnydepp based on novel fictional place queen fantasy alice in wonderland fantasy world 3d family fantasy adventure,en
41,10138,tt1228705,Iron Man 2,200000000,2010,6.6,6969,jonfavreau robertdowneyjr gwynethpaltrow malibu marvel comic superhero based on comic revenge aftercreditsstinger marvel cinematic universe adventure action science fiction,en
42,20662,tt0955308,Robin Hood,200000000,2010,6.2,1434,ridleyscott russellcrowe cateblanchett robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england action adventure,en
43,10193,tt0435761,Toy Story 3,200000000,2010,7.6,4710,leeunkrich tomhanks timallen hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story animation family comedy,en
44,44912,tt1133985,Green Lantern,200000000,2011,5.1,2551,martincampbell ryanreynolds blakelively dc comics transformation superhero alien alien infection magical object protector super powers origin 3d adventure action thriller science fiction,en
45,49013,tt1216475,Cars 2,200000000,2011,5.8,2088,johnlasseter owenwilson larrythecableguy car race sequel comedy anthropomorphism best friend duringcreditsstinger animation family adventure comedy,en
46,37724,tt1074638,Skyfall,200000000,2012,6.9,7718,sammendes danielcraig judidench spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao action adventure thriller,en
47,68728,tt1623205,Oz: The Great and Powerful,200000000,2013,5.7,3576,samraimi jamesfranco milakunis circus witch magic hope illusion lost magic trick wizard 3d fantasy adventure family,en
48,68721,tt1300854,Iron Man 3,200000000,2013,6.8,8951,shaneblack robertdowneyjr gwynethpaltrow terrorist war on terror tennessee malibu marvel comic superhero based on comic tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis action adventure science fiction,en
49,62211,tt1453405,Monsters University,200000000,2013,7,3622,danscanlon billycrystal johngoodman monster dormitory games animation best friend university scary aftercreditsstinger animation family,en
50,72190,tt0816711,World War Z,200000000,2013,6.7,5683,marcforster bradpitt mireilleenos dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse action drama horror science fiction thriller,en
51,102382,tt1872181,The Amazing Spider-Man 2,200000000,2014,6.5,4274,marcwebb andrewgarfield emmastone obsession marvel comic sequel based on comic electrocution medical experiment electricity super powers action adventure fantasy,en
52,283995,tt3896198,Guardians of the Galaxy Vol. 2,200000000,2017,7.6,4858,jamesgunn chrispratt zoesaldana sequel superhero based on comic misfit space outer space aftercreditsstinger duringcreditsstinger action adventure comedy science fiction,en
53,127380,tt2277860,Finding Dory,200000000,2016,6.8,4333,andrewstanton ellendegeneres albertbrooks fish amnesia sequel animation talking animal anthropomorphism underwater adventure animation comedy family,en
54,330459,tt3748528,Rogue One: A Star Wars Story,200000000,2016,7.4,5111,garethedwards felicityjones diegoluna rebel space battle space travel war prequel spaceship space alien death star jedi rebellion female protagonist space western gunfight suicide mission robot spin off laser gun space opera alien language against the odds blind man action adventure science fiction,en
55,339964,tt2239822,Valerian and the City of a Thousand Planets,197471676,2017,6.7,905,lucbesson danedehaan caradelevingne shapeshifting future utopia space travel diversity based on comic alien alien planet independent film energy alien abduction genocide parallel world political intrigue pacifist space opera military government agent marketplace trapped in space federal government unity cosmopolis adventure science fiction action,en
56,38356,tt1399103,Transformers: Dark of the Moon,195000000,2011,6.1,3351,michaelbay shialabeouf johnmalkovich moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger action science fiction adventure,en
57,81005,tt1351685,Jack the Giant Slayer,195000000,2013,5.5,2634,bryansinger nicholashoult eleanortomlinson based on fairy tale giant action family fantasy,en
58,54138,tt1408101,Star Trek Into Darkness,190000000,2013,7.4,4479,jjabrams chrispine zacharyquinto spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d action adventure science fiction,en
59,168259,tt2820852,Furious 7,190000000,2015,7.3,4253,jameswan vindiesel paulwalker car race speed revenge suspense car race muscle car,en
60,158852,tt1964418,Tomorrowland,190000000,2015,6.2,2904,bradbird brittrobertson georgeclooney inventor apocalypse destiny imax dreamer futuristic car futuristic city adventure family mystery science fiction,en
61,155,tt0468569,The Dark Knight,185000000,2008,8.3,12269,christophernolan christianbale michaelcaine dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman drama action crime thriller,en
62,217,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,185000000,2008,5.7,2558,stevenspielberg harrisonford cateblanchett saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology adventure action,en
63,62177,tt1217209,Brave,185000000,2012,6.7,4760,brendachapman kellymacdonald billyconnolly scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d animation adventure comedy family action fantasy,en
64,188927,tt2660888,Star Trek Beyond,185000000,2016,6.6,2636,justinlin chrispine zacharyquinto sequel stranded hatred space opera action adventure science fiction,en
65,293167,tt3731562,Kong: Skull Island,185000000,2017,6.2,3161,jordanvogtroberts tomhiddleston samuelljackson vietnam veteran 1970s monster expedition island king kong us soldier kaiju aftercreditsstinger monster island uncharted action adventure fantasy,en
66,411,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,2005,6.7,2709,andrewadamson williammoseley annapopplewell saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger adventure family fantasy,en
67,2268,tt0385752,The Golden Compass,180000000,2007,5.8,1347,chrisweitz dakotabluerichards nicolekidman england compass experiment lordship uncle polar bear orphan animal based on young adult novel adventure fantasy,en
68,10681,tt0910970,WALL·E,180000000,2008,7.8,6439,andrewstanton benburtt elissaknight animation family,en
69,68726,tt1663662,Pacific Rim,180000000,2013,6.7,4903,guillermodeltoro idriselba charliehunnam dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d action science fiction adventure,en
70,102651,tt1587310,Maleficent,180000000,2014,7,4607,robertstromberg angelinajolie ellefanning fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d fantasy adventure action family romance,en
71,259316,tt3183660,Fantastic Beasts and Where to Find Them,180000000,2016,7.2,5612,davidyates eddieredmayne colinfarrell robbery magic teleportation suitcase new york city subway station central park wizard goblin magical creature adventure family fantasy,en
72,258489,tt0918940,The Legend of Tarzan,180000000,2016,5.5,2488,davidyates alexanderskarsgrd margotrobbie africa feral child tarzan jungle animal attack action adventure,en
73,137113,tt1631867,Edge of Tomorrow,178000000,2014,7.6,4979,dougliman tomcruise emilyblunt deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton action science fiction,en
74,246655,tt3385516,X-Men: Apocalypse,178000000,2016,6.4,4831,bryansinger jamesmcavoy michaelfassbender mutant supernatural powers marvel comic superhero based on comic superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,en
75,76757,tt1617661,Jupiter Ascending,176000003,2015,5.2,2816,lillywachowski milakunis channingtatum jupiter space woman director 3d interspecies romance science fiction fantasy action adventure,en
76,9804,tt0114898,Waterworld,175000000,1995,5.9,1017,kevinreynolds kevincostner chaimgirafi ocean tattoo mutant water dystopia doomsday adventure action,en
77,652,tt0332452,Troy,175000000,2004,6.9,2841,wolfgangpetersen bradpitt orlandobloom brother brother relationship adultery mythology beauty trojan war bravery wall fraud hostility epic sword fight battlefield ancient world pyre ancient greece trojan horse trojan bronze age sparta greece helen of troy homers iliad adventure drama war,en
78,2698,tt0413099,Evan Almighty,175000000,2007,5.3,1194,tomshadyac stevecarell laurengraham father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark fantasy comedy family,en
79,15512,tt0892782,Monsters vs Aliens,175000000,2009,6,1464,conradvernon sethrogen reesewitherspoon alien giant robot duringcreditsstinger animation family adventure science fiction,en
80,14160,tt1049413,Up,175000000,2009,7.8,7048,petedocter edasner christopherplummer age difference central and south america balloon animation floating in the air duringcreditsstinger exploring animation comedy family adventure,en
81,14869,tt1046173,G.I. Joe: The Rise of Cobra,175000000,2009,5.6,1988,stephensommers dennisquaid channingtatum terrorist secret hostage technology laser warhead government president revenge murder attack explosion scientist evil cobra adventure action thriller science fiction,en
82,64686,tt1335975,47 Ronin,175000000,2013,5.9,1357,carlrinsch keanureeves hiroyukisanada japan suicide samurai based on true story samurai sword ronin shogun half breed 3d drama action adventure fantasy,en
83,150540,tt2096673,Inside Out,175000000,2015,7.9,6737,petedocter amypoehler phyllissmith dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions drama comedy animation family,en
84,297761,tt1386697,Suicide Squad,175000000,2016,5.9,7717,davidayer willsmith margotrobbie dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe action adventure crime fantasy science fiction,en
85,105864,tt1979388,The Good Dinosaur,175000000,2015,6.6,1782,petersohn raymondochoa jackbright tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey adventure animation family,en
86,278927,tt3040964,The Jungle Book,175000000,2016,6.7,2977,jonfavreau neelsethi billmurray based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals family adventure drama fantasy,en
87,274857,tt1972591,King Arthur: Legend of the Sword,175000000,2017,6.5,1506,guyritchie charliehunnam astridbergsfrisbey sword king arthur period drama 3d action drama fantasy,en
88,260514,tt3606752,Cars 3,175000000,2017,6.6,718,brianfee owenwilson cristelaalonzo cgi anthropomorphism family comedy animation adventure,en
89,8487,tt0120891,Wild Wild West,170000000,1999,5.1,1042,barrysonnenfeld willsmith kevinkline steampunk based on tv series steam locomotive drag action adventure comedy science fiction western,en
90,20526,tt1104001,TRON: Legacy,170000000,2010,6.3,2895,josephkosinski garretthedlund jeffbridges artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy adventure action science fiction,en
91,44826,tt0970179,Hugo,170000000,2011,7,2197,martinscorsese benkingsley sachabaroncohen library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d adventure drama family,en
92,58595,tt1735898,Snow White and the Huntsman,170000000,2012,5.8,3183,rupertsanders kristenstewart charlizetheron queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress adventure fantasy drama,en
93,76338,tt1981115,Thor: The Dark World,170000000,2013,6.8,4873,alantaylor chrishemsworth natalieportman marvel comic superhero based on comic hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d asgard action adventure fantasy,en
94,100402,tt1843866,Captain America: The Winter Soldier,170000000,2014,7.6,5881,anthonyrusso chrisevans samuelljackson washington dc future shield marvel comic superhero based on comic captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller action adventure science fiction,en
95,119450,tt2103281,Dawn of the Planet of the Apes,170000000,2014,7.3,4511,mattreeves andyserkis jasonclarke leader colony postapocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d science fiction action drama thriller,en
96,118340,tt2015381,Guardians of the Galaxy,170000000,2014,7.9,10014,jamesgunn chrispratt zoesaldana marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe action science fiction adventure,en
97,241259,tt2567026,Alice Through the Looking Glass,170000000,2016,6.5,1782,jamesbobin johnnydepp miawasikowska based on novel clock queen sequel alice in wonderland dark fantasy mad hatter 3d family fantasy,en
98,5255,tt0338348,The Polar Express,165000000,2004,6.4,1524,robertzemeckis tomhanks michaeljeter santa claus nerd faith gift bell beard north pole chute trestle ticket christmas adventure animation family fantasy,en
99,10191,tt0892769,How to Train Your Dragon,165000000,2010,7.5,4319,chrissanders jaybaruchel gerardbutler flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior fantasy adventure animation family,en
100,10192,tt0892791,Shrek Forever After,165000000,2010,6,2021,mikemitchell mikemyers eddiemurphy ogre 3d comedy adventure fantasy animation family,en
101,82690,tt1772341,Wreck-It Ralph,165000000,2012,7.1,4656,richmoore johncreilly sarahsilverman support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer qbert interrupted wedding social reject family animation comedy adventure,en
102,157336,tt0816692,Interstellar,165000000,2014,8.1,11187,christophernolan matthewmcconaughey jessicachastain saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity adventure drama science fiction,en
103,177572,tt2245084,Big Hero 6,165000000,2014,7.8,6289,chriswilliams scottadsit ryanpotter brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother adventure family animation action comedy,en
104,284052,tt1211837,Doctor Strange,165000000,2016,7.1,5880,scottderrickson benedictcumberbatch chiwetelejiofor magic marvel comic superhero based on comic sorcerer doctor neurosurgeon wizard aftercreditsstinger duringcreditsstinger marvel cinematic universe action adventure fantasy science fiction,en
105,47933,tt1628841,Independence Day: Resurgence,165000000,2016,4.9,2550,rolandemmerich liamhemsworth jeffgoldblum alternate history alien invasion action adventure science fiction,en
106,49849,tt0409847,Cowboys & Aliens,163000000,2011,5.4,2054,jonfavreau danielcraig oliviawilde robbery sheriff arizona laser outlaw ufo spaceship alien native american escape gunfight action science fiction thriller western,en
107,1639,tt0120179,Speed 2: Cruise Control,160000000,1997,4.1,439,jandebont sandrabullock jasonpatric boat cruise computer disaster diamond collision course action adventure thriller,en
108,1911,tt0120657,The 13th Warrior,160000000,1999,6.4,524,johnmctiernan antoniobanderas vladimirkulich witch cave arabian scandinavia bagdad viking iraq war mission adventure fantasy action,en
109,7131,tt0338526,Van Helsing,160000000,2004,6,1674,stephensommers hughjackman katebeckinsale transylvania vatican vampire dracula bite frankenstein werewolf multiple monsters van helsing castles mr hyde horror adventure action,en
110,503,tt0409182,Poseidon,160000000,2006,5.5,594,wolfgangpetersen kurtrussell richarddreyfuss new years eve fire drowning cataclysm loss of father atlantic ocean ball selfabandonment shipwreck giant wave blackout ship daughter single escape capsized ship adventure action drama thriller,en
111,810,tt0413267,Shrek the Third,160000000,2007,6,2355,chrismiller mikemyers eddiemurphy ambush sadness stage liberation of prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir to the throne assault boarding school coup detat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger fantasy adventure animation comedy family,en
112,27205,tt1375666,Inception,160000000,2010,8.1,14075,christophernolan leonardodicaprio josephgordonlevitt loss of lover dream kidnapping sleep subconsciousness heist redemption female hero action thriller science fiction mystery adventure,en
113,49538,tt1270798,X-Men: First Class,160000000,2011,7.1,5252,matthewvaughn jamesmcavoy michaelfassbender cia mutant mine marvel comic superhero based on comic superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s action science fiction adventure,en
114,82992,tt1905041,Fast & Furious 6,160000000,2013,6.7,5282,justinlin vindiesel paulwalker car race sequel crime car automobile racing car theft action thriller crime,en
115,124905,tt0831387,Godzilla,160000000,2014,6.1,3232,garethedwards aarontaylorjohnson kenwatanabe monster godzilla remake giant monster gojira kaiju global threat animal horror action science fiction thriller,en
116,68735,tt0803096,Warcraft,160000000,2016,6.3,2325,duncanjones paulapatton travisfimmel video game elves orcs magic chase based on comic sorcerer fictional war based on video game wizard fictional language muscles orc sword and sorcery action adventure fantasy,en
117,131634,tt1951266,The Hunger Games: Mockingjay - Part 2,160000000,2015,6.6,4117,francislawrence jenniferlawrence joshhutcherson revolution strong woman dystopia game of death 3d based on young adult novel action adventure science fiction,en
118,321612,tt2771200,Beauty and the Beast,160000000,2017,6.8,5530,billcondon emmawatson danstevens france magic castle fairy tale musical curse anthropomorphism creature held captive gothic 18th century beast 3d family fantasy romance,en
119,1966,tt0346491,Alexander,155000000,2004,5.6,957,oliverstone colinfarrell angelinajolie aristotle egypt greece persia elephant campaign alexander the great homosexuality gay relationship ancient world war history action adventure drama romance,en
120,10140,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,2010,6.2,1555,michaelapted skandarkeynes georgiehenley based on novel magic good vs evil king narnia fantasy world knife held to throat snowing quest adventure family fantasy,en
121,87101,tt1340138,Terminator Genisys,155000000,2015,5.8,3677,alantaylor arnoldschwarzenegger jasonclarke saving the world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d science fiction action thriller adventure,en
122,281338,tt3450958,War for the Planet of the Apes,152000000,2017,6.7,1675,mattreeves andyserkis woodyharrelson based on novel sequel talking animal ape drama science fiction war,en
123,37135,tt0120855,Tarzan,150000000,1999,7.1,1715,kevinlima tonygoldwyn glennclose gorilla baby adoption feral child nest animation jungle camp orphan adventure animation drama family,en
124,604,tt0234215,The Matrix Reloaded,150000000,2003,6.7,3500,lillywachowski keanureeves carrieannemoss saving the world artificial intelligence man vs machine martial arts kung fu underground world dream hero fight computer virus key future plato precognition rave dying and death virtual reality dystopia computer faith world religion truth mission cyberpunk woman director gnosticism adventure action thriller science fiction,en
125,605,tt0242653,The Matrix Revolutions,150000000,2003,6.4,3155,lillywachowski keanureeves laurencefishburne saving the world artificial intelligence man vs machine flying philosophy fortune teller kung fu underground world killer robot temple subway dream sun hero fight sunlight computer virus key future precognition super computer machine town ying yang dying and death virtual reality dystopia computer faith world religion truth rescue mission cyberpunk woman director yin yang gnosticism adventure action thriller science fiction,en
126,8619,tt0311113,Master and Commander: The Far Side of the World,150000000,2003,6.9,808,peterweir russellcrowe paulbettany naturalist frigate self surgery sea battle weevil,en
127,809,tt0298148,Shrek 2,150000000,2004,6.7,3082,andrewadamson mikemyers eddiemurphy prison magic liberation honeymoon parentsinlaw kingdom enchantment dancing scene transformation fairytale figure adventure animation comedy family fantasy,en
128,118,tt0367594,Charlie and the Chocolate Factory,150000000,2005,6.7,3759,timburton johnnydepp freddiehighmore london england father son relationship chocolate factory worker based on novel parent child relationship candy overweight child grandfather grandson relationship teacher adventure comedy family fantasy,en
129,272,tt0372784,Batman Begins,150000000,2005,7.5,7511,christophernolan christianbale michaelcaine himalaya martial arts dc comics crime fighter secret identity undercover hero loss of father society gotham city vigilante superhero based on comic rivalry tragic hero ninja good vs evil crime super powers haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love action crime drama,en
130,9982,tt0371606,Chicken Little,150000000,2005,5.6,974,markdindal zachbraff joancusack fish small town space marine chicken alien best friend alien invasion animal duringcreditsstinger 3d animation family comedy,en
131,674,tt0330373,Harry Potter and the Goblet of Fire,150000000,2005,7.5,5758,mikenewell danielradcliffe rupertgrint magic dying and death broom sorcerers apprentice school of witchcraft chosen one black magic boarding school vision tournament teenager wizard teenage hero based on young adult novel adventure fantasy family,en
